"filename", "language", "Log", "comment", "blank", "total"
"d:\Data\CppCode\StartAMDVHookDriverFromNone\Sources\AMDVTDriver\AMDVTDriver\x64\Debug\AMDVTDriver.log", "Log", -6, 0, -3, -9
"Total", "-", -6, 0, -3, -9
